Occurrence time,Equipment type,Equipment group,Equipment No.,Error description
09:56:02,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
09:56:12,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
09:56:26,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9001，Details=EMERGENCY STOP)
09:56:27,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=9001，Details=EMERGENCY STOP)
09:56:29,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=9001，Details=EMERGENCY STOP)
09:56:31,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9001，Details=EMERGENCY STOP)
09:56:32,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9001，Details=EMERGENCY STOP)
09:56:34,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=9001，Details=EMERGENCY STOP)
09:56:36,02:Conveyor,00,1107,Error occured(Block No=1107，Error Code=9001，Details=EMERGENCY STOP)
09:56:37,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=9001，Details=EMERGENCY STOP)
09:56:39,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=9001，Details=EMERGENCY STOP)
09:56:40,02:Conveyor,00,1110,Error occured(Block No=1110，Error Code=9001，Details=EMERGENCY STOP)
09:56:42,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
09:56:44,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
09:56:45,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
09:56:47,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
09:56:48,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
09:56:50,02:Conveyor,00,1106,Error recovery(Block No=1106，Error Code=0000)
09:56:52,02:Conveyor,00,1107,Error recovery(Block No=1107，Error Code=0000)
09:56:53,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
09:56:55,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
09:56:57,02:Conveyor,00,1110,Error recovery(Block No=1110，Error Code=0000)
10:00:59,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9001，Details=EMERGENCY STOP)
10:01:01,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=9001，Details=EMERGENCY STOP)
10:01:02,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=9001，Details=EMERGENCY STOP)
10:01:04,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9001，Details=EMERGENCY STOP)
10:01:05,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9001，Details=EMERGENCY STOP)
10:01:07,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=9001，Details=EMERGENCY STOP)
10:01:09,02:Conveyor,00,1107,Error occured(Block No=1107，Error Code=9001，Details=EMERGENCY STOP)
