Occurrence time,Equipment type,Equipment group,Equipment No.,Error description
11:14:45,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9202，Details=LOAD PROFILE ERROR)
11:15:21,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
11:15:31,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9202，Details=LOAD PROFILE ERROR)
11:16:24,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
11:28:17,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9202，Details=LOAD PROFILE ERROR)
11:28:30,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
11:57:59,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
11:58:16,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
11:58:26,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
11:59:03,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
11:59:14,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
11:59:51,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:06:12,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9202，Details=LOAD PROFILE ERROR)
12:06:31,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
12:07:39,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=9202，Details=LOAD PROFILE ERROR)
12:07:39,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
12:07:50,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
12:08:14,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
12:08:38,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:08:49,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
12:09:47,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:11:41,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
12:12:24,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:17:48,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
12:20:07,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:08,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:09,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:09,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:10,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:11,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:12,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:13,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:14,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:14,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:16,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:16,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:18,02:Conveyor,00,1107,Error occured(Block No=1107，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:18,02:Conveyor,00,1107,Error occured(Block No=1107，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:19,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:20,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:21,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:22,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:23,02:Conveyor,00,1110,Error occured(Block No=1110，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:23,02:Conveyor,00,1110,Error occured(Block No=1110，Error Code=0101，Details=CELL COMMUNICATION ERROR)
12:20:24,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
12:20:25,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
12:20:26,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:20:27,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
12:20:28,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
12:20:28,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
12:20:30,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
12:20:30,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
12:20:31,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
12:20:32,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:20:33,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
12:20:34,02:Conveyor,00,1106,Error recovery(Block No=1106，Error Code=0000)
12:20:35,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:20:36,02:Conveyor,00,1107,Error recovery(Block No=1107，Error Code=0000)
12:20:37,02:Conveyor,00,1106,Error recovery(Block No=1106，Error Code=0000)
12:20:37,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
12:20:39,02:Conveyor,00,1107,Error recovery(Block No=1107，Error Code=0000)
12:20:39,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
12:20:40,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
12:20:41,02:Conveyor,00,1110,Error recovery(Block No=1110，Error Code=0000)
12:20:42,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
12:20:43,02:Conveyor,00,1110,Error recovery(Block No=1110，Error Code=0000)
12:20:57,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2132,Abnormal content=FORK1 LOAD PROFILE:RIGHT)"
12:24:33,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
12:25:32,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:26:27,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
12:27:09,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
12:27:49,01:Crane,00,0004,"Crane error occurred(Abnormal alertﾞ=2131,Abnormal content=FORK1 LOAD PROFILE:LEFT)"
12:38:04,01:Crane,00,0004,Crane communication error occurred
12:38:05,01:Crane,00,0004,Crane communication error recovery
13:03:27,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=2132,Abnormal Content=FORK1 LOAD PROFILE:RIGHT)"
13:03:27,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2132,Abnormal content=FORK1 LOAD PROFILE:RIGHT)"
13:03:34,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=2132,Abnormal Content=FORK1 LOAD PROFILE:RIGHT)"
13:03:47,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2132,Abnormal content=FORK1 LOAD PROFILE:RIGHT)"
13:06:41,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:07:04,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
13:11:34,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:12:12,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2132,Abnormal content=FORK1 LOAD PROFILE:RIGHT)"
13:12:23,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=2132,Abnormal Content=FORK1 LOAD PROFILE:RIGHT)"
13:12:29,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=2132,Abnormal content=FORK1 LOAD PROFILE:RIGHT)"
13:17:38,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:18:05,01:Crane,00,0003,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
13:18:07,01:Crane,00,0003,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:19:47,01:Crane,00,0004,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:22:18,01:Crane,00,0004,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
13:26:00,01:Crane,00,0004,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:40:23,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=9202，Details=LOAD PROFILE ERROR)
