Occurrence time,Equipment type,Equipment group,Equipment No.,Error description
04:47:54,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=9202，Details=LOAD PROFILE ERROR)
05:11:25,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
06:08:38,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
07:56:18,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
08:11:00,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=5251，Details=TIME OUT: STOP-UNIT)
08:11:56,01:Crane,00,0001,"Crane error occurred(Abnormal alertﾞ=5202,Abnormal content=STATION WAIT TIME)"
08:13:03,01:Crane,00,0001,"Crane error recovery(Abnormal alertﾞ=5202,Abnormal Content=STATION WAIT TIME)"
08:13:30,01:Crane,00,0001,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
08:15:06,01:Crane,00,0001,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
08:15:19,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
08:52:44,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
08:54:06,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
08:55:44,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
08:57:58,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
08:58:08,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
08:58:23,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
08:58:33,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
08:58:52,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
08:59:08,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
08:59:16,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
08:59:17,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
08:59:52,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=9202，Details=LOAD PROFILE ERROR)
08:59:53,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
09:00:07,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
09:00:09,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
09:07:39,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
09:07:59,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
09:08:38,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
09:09:01,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=9202，Details=LOAD PROFILE ERROR)
09:12:37,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
09:12:39,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
09:13:02,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
09:13:07,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
09:14:30,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
09:14:45,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
09:15:04,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=9202，Details=LOAD PROFILE ERROR)
09:16:14,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
09:30:56,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
09:35:01,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=9202，Details=LOAD PROFILE ERROR)
09:36:39,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
09:36:41,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
09:36:53,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
10:55:50,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:51,02:Conveyor,00,1101,Error occured(Block No=1101，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:52,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:53,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:53,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:54,02:Conveyor,00,1103,Error occured(Block No=1103，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:55,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:56,02:Conveyor,00,1104,Error occured(Block No=1104，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:57,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:58,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:58,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:55:59,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:00,02:Conveyor,00,1107,Error occured(Block No=1107，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:01,02:Conveyor,00,1107,Error occured(Block No=1107，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:02,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:02,02:Conveyor,00,1108,Error occured(Block No=1108，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:04,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:05,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:06,02:Conveyor,00,1110,Error occured(Block No=1110，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:06,02:Conveyor,00,1110,Error occured(Block No=1110，Error Code=0101，Details=CELL COMMUNICATION ERROR)
10:56:07,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
10:56:08,02:Conveyor,00,1101,Error recovery(Block No=1101，Error Code=0000)
10:56:09,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
10:56:10,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
10:56:11,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
10:56:11,02:Conveyor,00,1103,Error recovery(Block No=1103，Error Code=0000)
10:56:12,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
10:56:13,02:Conveyor,00,1104,Error recovery(Block No=1104，Error Code=0000)
10:56:14,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
10:56:15,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
10:56:15,02:Conveyor,00,1106,Error recovery(Block No=1106，Error Code=0000)
10:56:17,02:Conveyor,00,1106,Error recovery(Block No=1106，Error Code=0000)
10:56:18,02:Conveyor,00,1107,Error recovery(Block No=1107，Error Code=0000)
10:56:18,02:Conveyor,00,1107,Error recovery(Block No=1107，Error Code=0000)
10:56:19,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
10:56:20,02:Conveyor,00,1108,Error recovery(Block No=1108，Error Code=0000)
10:56:21,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
10:56:22,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
10:56:23,02:Conveyor,00,1110,Error recovery(Block No=1110，Error Code=0000)
10:56:23,02:Conveyor,00,1110,Error recovery(Block No=1110，Error Code=0000)
12:16:51,01:Crane,00,0002,Crane communication error occurred
12:16:52,01:Crane,00,0002,Crane communication error recovery
13:37:09,01:Crane,00,0004,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
13:37:09,02:Conveyor,00,1110,Error occured(Block No=1110，Error Code=9202，Details=LOAD PROFILE ERROR)
13:37:33,02:Conveyor,00,1110,Error recovery(Block No=1110，Error Code=0000)
13:39:00,01:Crane,00,0004,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
13:46:56,01:Crane,00,0001,"Crane error occurred(Abnormal alertﾞ=6130,Abnormal content=LOAD OPE: NO LOADED 1)"
13:47:26,01:Crane,00,0001,"Crane error recovery(Abnormal alertﾞ=6130,Abnormal Content=LOAD OPE: NO LOADED 1)"
16:19:17,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
16:20:16,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
16:24:01,01:Crane,00,0004,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
16:24:02,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=9202，Details=LOAD PROFILE ERROR)
16:24:38,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
16:24:53,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=5251，Details=TIME OUT: STOP-UNIT)
16:28:35,01:Crane,00,0004,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
16:29:10,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
16:29:30,02:Conveyor,00,1102,Error occured(Block No=1102，Error Code=9202，Details=LOAD PROFILE ERROR)
16:29:41,02:Conveyor,00,1102,Error recovery(Block No=1102，Error Code=0000)
16:30:14,02:Conveyor,00,1106,Error occured(Block No=1106，Error Code=1211，Details=END STOP: TRAVEL-UNIT)
16:30:24,02:Conveyor,00,1106,Error recovery(Block No=1106，Error Code=0000)
16:30:25,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
16:30:27,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
16:30:29,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
16:30:30,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
16:30:32,02:Conveyor,00,1105,Error occured(Block No=1105，Error Code=9202，Details=LOAD PROFILE ERROR)
16:30:45,02:Conveyor,00,1105,Error recovery(Block No=1105，Error Code=0000)
16:34:55,02:Conveyor,00,1109,Error occured(Block No=1109，Error Code=9202，Details=LOAD PROFILE ERROR)
16:34:55,01:Crane,00,0004,"Crane error occurred(Abnormal alertﾞ=9002,Abnormal content=EMERGENCY STOP: DCU)"
16:35:29,02:Conveyor,00,1109,Error recovery(Block No=1109，Error Code=0000)
16:38:48,01:Crane,00,0004,"Crane error recovery(Abnormal alertﾞ=9002,Abnormal Content=EMERGENCY STOP: DCU)"
